,Frequency of wifi,Phonelock duration during morning,The frequency of changing building,Average duration of each conversation,Average duration of each conversation during day,Daily average 2 ratio during night,Audio daily average 2 ratio,Bluetooth class,Daily average stationary ratio during night,Phonelock duration during night,Daily average 2 ratio during day,Daily average unknown activity ratio during night,Total counts of bluetooth mac address,Average accuracy,Phonecharge duration during evening,Medium strength of wifi level,Light duration during evening,Daily average walking ratio,Audio daily average 0 ratio,Daily average 0 ratio during day,Average duration of each long-time conversation(>10 mins),Average speed,Average duration of each conversation during night,Phonelock duration during evening,Phonecharge duration during afternoon,Light duration during morning,Average bearing,Wifi times of gps_network_type,High strength of wifi level,Phonecharge duration during night,Light duration during night,Gps times of gps provider,High strength of bluetooth level,Daily average walking ratio during day,Daily average running ratio during night,Low strength of bluetooth level,Phonecharge duration during morning,Daily average running ratio during day,Low strength of wifi level,Network times of gps provider,Medium strength of bluetooth level,Phonelock duration during afternoon,Total counts of wifi-bssid address,Daily average stationary ratio,Daily average 0 ratio during night,Daily average conversation duration,Daily average unknown activity ratio during day,Daily average running ratio,Daily average walking ratio during night,Cell  times of gps_network_type,Audio 1 times count,Daily frequency of conversation during day,Daily frequency of long-time conversation(>10 mins),Daily frequency of conversation during night,Daily average 0 count during night,Daily average 1 ratio during day,Daily average 1 ratio during night,Daily average conversation duration during night,Daily frequency of conversation,Audio daily average 2 times,Audio 2 times count,Daily average conversation duration during day,Daily average 2 times during day,Daily average long-time conversation duration(>10 mins),Daily average 1 times during night,Daily average 1 times during day,Daily average 0 count during day,Audio daily average 1 ratio,Audio daily average 0 count,Audio daily average 1 times,FlourishingScale
u32,28294.55,0.121,79,622.2139915087764,580.0764511536104,0.21610545728505204,0.2089713074887333,1038.976,0.9170701536014564,0.1625,0.20320219086721653,0.026346439831351275,51.75899999999999,36.4,0.0007,15.061,0.0073,0.04146034579434134,0.5193749913074526,0.5337895154110975,1689.6529577789304,0.03,671.2070185293306,0.0262,0.1778,0.1133,1.74,3722.0,76.163,0.0419,0.1039,98.0,62.13399999999999,0.04133257084017121,0.014672980725656209,18.024,0.0172,0.010668331980261469,8.776,3722.0,19.841,0.1935,51.431,0.9194509662069889,0.5032538037984771,586218.4477611941,0.0271737734971018,0.0122917700376614,0.04191042584153599,0.0,12862760.0,531.820895522388,259.1194029850746,410.32835820895525,146938.05970149254,0.2630082937216857,0.2806407389164711,276614.9850746269,942.1492537313433,144557.9552238806,9685383.0,309603.46268656716,81418.07462686568,437821.8656716418,84372.64179104478,107608.85074626864,212828.68656716414,0.27165370120381394,359766.74626865675,191981.49253731343,1.0
u33,9193.429,0.063,77,628.2555368131698,587.4280186816245,0.2213162997355299,0.21136371124507067,164.412,0.9186630071407212,0.0497,0.2034153275297422,0.025454107235685586,14.482,34.84,0.0286,19.648,0.0332,0.03980913035440534,0.5180798798639789,0.5365577423787814,1700.4663735272566,0.01,674.9517021112896,0.0445,0.1419,0.1191,1.08,2754.0,65.365,0.0213,0.0767,55.0,55.868,0.03918874390103592,0.014947075867634631,14.955,0.0202,0.010763812818458516,14.987,2754.0,29.177,0.1746,39.947,0.9215687619352684,0.4967889279052416,600368.4925373135,0.02667120772442546,0.012463419632501369,0.040935809755958674,0.0,11495390.0,538.8955223880597,264.76119402985074,416.71641791044783,131881.02985074627,0.2600269300914764,0.2818947723592285,282671.65671641787,955.6119402985074,131173.38805970148,8788617.0,317696.8358208955,72685.41791044777,450217.50746268657,76562.49253731343,95010.49253731343,191721.9104477612,0.2705564088909506,323602.94029850746,171572.98507462686,0.0
u34,13402.75,0.0349,72,612.8087916526422,570.9619157773324,0.206185564879493,0.1994461827356429,169.0,0.9193201272549244,0.0382,0.19417053764636075,0.027548164352986258,15.268,34.45,0.0,11.632,0.0019,0.03972883496812474,0.5199723537750834,0.5302013244862545,1675.6396544019067,0.23,659.9673348272871,0.0,0.0131,0.0298,12.2,1876.0,68.655,0.0303,0.0425,223.0,52.54,0.03864006330908636,0.01180929494349594,20.445,0.0118,0.008617929406025177,19.714,1876.0,27.015,0.017,48.203,0.9231911289493208,0.5085448361303478,679348.8507462686,0.02683854518880564,0.009916313488456984,0.04132241344859363,0.0,18586548.0,633.4925373134329,300.5820895522388,475.089552238806,203897.25373134328,0.2756281378673849,0.2852695989901592,315431.4029850746,1108.5820895522388,192056.4626865672,12867783.0,363917.44776119397,109169.01492537317,503667.2686567164,118581.62686567164,158829.53731343284,294856.5671641791,0.2805814634892736,498753.8208955224,277411.1641791045,0.0
u35,12160.7,0.0781,63,609.1990775725043,567.625782263515,0.207305244783564,0.1997641650404551,362.424,0.9186351663086584,0.0963,0.19388382754371672,0.026873401393302715,35.701,35.59,0.0,11.248,0.0072,0.040423948981433866,0.5196392417327311,0.5306765293725693,1669.7585823958286,0.05,655.3448323204648,0.0055,0.0384,0.0227,3.43,4155.0,64.086,0.0506,0.0611,185.0,72.592,0.03921660508867685,0.0122878256983451,12.651,0.0169,0.0088327094015013,24.666,4155.0,14.758,0.046,46.611,0.922719948466318,0.5071209931734558,697887.5522388059,0.026408954423336288,0.010246431649362557,0.04220360659969371,0.0,18181593.0,654.3880597014926,309.1194029850746,491.1940298507463,199505.07462686565,0.2754396430837141,0.2855737620429802,323866.9850746269,1145.5820895522388,188346.0298507463,12619184.0,374020.56716417905,106622.44776119402,516154.77611940296,116386.17910447762,154980.8805970149,288666.19402985077,0.2805965932268137,488171.2686567164,271367.0597014925,1.0
u36,45790.05,0.1156,86,614.1535837160089,571.9373158613273,0.2027535828408835,0.19683186424221952,2378.222,0.9194300362381108,0.1396,0.19229077559636998,0.02710460349137707,242.767,209.74,0.013,19.194000000000006,0.0122,0.039580907537865855,0.5249364365135334,0.5322002636873561,1686.3368679064315,0.06,663.6839861654049,0.0191,0.1036,0.1153,4.06,4710.0,59.523,0.0569,0.066,314.0,62.609,0.03871980589213727,0.01255963876495625,16.521,0.0275,0.009351696653593256,21.283,5108.0,20.87,0.2828,63.32,0.9230975373749334,0.5172762566982272,636767.2686567164,0.026337598811381292,0.010651338611044812,0.04090572150555575,398.0,20111018.0,587.7014925373136,280.1044776119403,449.1194029850746,224912.59701492536,0.27550896071627395,0.2799701604608893,299427.25373134325,1036.820895522388,207110.59701492536,13876410.0,337340.01492537314,118692.82089552238,472350.50746268657,126010.70149253732,174153.74626865672,325286.2686567164,0.27823169924424745,550198.8656716418,300164.44776119397,1.0
u39,3650.4,0.0082,40,510.2164948453608,495.9926696794239,0.2191472055888154,0.22041029404528686,147.583,0.92117512814888,0.0097,0.22027967625475928,0.026453861583855643,37.681,53.62,0.0,5.121,0.0058,0.03755308944032703,0.5428148518341518,0.5548307582239419,1425.1104199066876,0.04,628.7673976947062,0.006,0.0,0.0055,3.1,1200.0,81.13600000000002,0.0039,0.0069,149.0,58.95,0.03575060014153173,0.012176161063318971,24.619,0.0,0.0087580920663986,13.742,1200.0,16.430999999999994,0.0,60.437,0.9264148748950016,0.5318290355534451,41365.611940298506,0.025479561643733658,0.010145356123173566,0.040194849203945324,0.0,4396569.0,41.48484848484848,19.19402985074627,40.208955223880594,61015.92537313433,0.22488956552129885,0.2490237588577395,23296.53731343284,81.07462686567165,59349.37313432836,3976408.0,18342.848484848484,34070.417910447766,27353.611940298506,29690.74626865672,35929.68656716418,86699.76119402985,0.2367748541205613,147715.68656716414,65620.4328358209,0.0
u42,31540.6,0.0556,69,602.4385276122526,559.8379747196353,0.19175156366025373,0.1878129332831424,165.97299999999996,0.9203896506316582,0.0582,0.18484520953783165,0.026175934523971347,16.332,34.2,0.0,17.371,0.0222,0.03829106934950945,0.5422933998401093,0.5454677520279819,1668.3745796906524,0.15,657.7339475794282,0.0223,0.0091,0.0536,6.23,2782.0,48.934,0.0448,0.0733,176.0,43.332,0.038954810630057284,0.015728912553328506,27.194000000000006,0.0295,0.011713162186170255,33.695,2782.0,29.474,0.0686,103.091,0.9201883357554458,0.5404848964542741,451172.50746268657,0.029610036663844368,0.01330822074936627,0.03770550229104185,0.0,24675377.0,422.02985074626883,199.7462686567164,326.8805970149254,294083.0,0.26968703843418634,0.2677635398854723,215096.20895522388,748.9104477611943,249917.98507462692,16744505.0,236076.2985074627,145412.19402985074,333251.5970149254,150641.73134328358,217647.47761194035,425685.6268656717,0.2698936668767484,719768.6268656716,368289.2089552239,0.0
u43,9712.095,0.0501,69,602.4623699775648,560.9000712097364,0.1949883502322408,0.1912586828899571,160.04399999999995,0.9173585110894432,0.1107,0.1884385402702919,0.027011097292398683,11.692,40.75,0.0,19.863,0.0132,0.039062260590382,0.5395858252771445,0.5407523076596006,1673.0735203925174,0.18,656.5869313978791,0.0211,0.0832,0.0397,4.18,4159.0,62.497,0.0225,0.1032,143.0,61.525,0.03842803272676233,0.015331747738621806,11.65,0.0396,0.011134842381778441,17.639,4152.0,26.826,0.16399999999999998,20.589,0.9196300513579808,0.5404732587579206,440876.56716417905,0.029496589593572726,0.012816354466044328,0.04029864387953597,0.0,26343859.0,412.04477611940285,194.68656716417908,319.74626865671644,313178.58208955225,0.2708091520701074,0.2645383910098386,209884.19402985074,731.7910447761194,272791.7313432836,18277046.0,230992.3731343284,159443.28358208956,325724.94029850746,158465.2985074627,234726.62686567163,453928.80597014923,0.2691554918328983,767107.3880597015,393191.9253731343,0.0
u44,11217.524,0.0857,54,597.2562723172338,548.9556405690789,0.1982360731238518,0.1918169628284357,346.281,0.961981390990254,0.1465,0.18691471221030267,0.010731545412276841,34.413000000000004,44.19,0.0127,9.759,0.0104,0.014930014560176591,0.5356454115550922,0.5444385820454138,1677.6164800716526,0.07,661.5808906897737,0.0524,0.0206,0.0419,4.62,3824.0,77.381,0.0231,0.0491,322.0,60.166,0.007750515077917245,0.002366130937415184,21.18,0.0354,0.0015197734991376807,12.86,3824.0,18.654,0.1523,65.508,0.9745750741054048,0.5258027726474457,379462.76119402976,0.006982086138054946,0.001972442723176997,0.02492093266005366,0.0,21440511.0,357.1940298507463,166.64179104477608,278.14925373134326,249833.47761194035,0.2686467057442836,0.27596115422870265,183553.31343283586,635.3432835820895,219477.552238806,14704996.0,195909.447761194,125291.83582089553,279561.01492537314,135480.67164179106,184526.9552238806,362395.0,0.27253762561647205,612228.4776119404,320007.6268656717,0.0
u45,24780.05,0.0767,72,614.1594350459483,566.9046763193184,0.19801138565117146,0.19143587108840865,183.424,0.9277466359087408,0.07,0.18644369829888136,0.027308459940961767,18.682,40.17,0.0,13.8,0.0113,0.028483487015849688,0.5353911417482903,0.5440353809679453,1699.8695652173913,0.39,676.4668267038992,0.0728,0.0098,0.0434,14.65,1868.0,68.796,0.0549,0.0373,435.0,58.38399999999999,0.0249999419071472,0.010916722827849338,18.272,0.0494,0.004968853046777903,17.404,1868.0,23.344,0.1023,60.877,0.9386320112464562,0.5256939027348935,351115.8656716418,0.02431460435718833,0.007333818339567326,0.034028181322448364,0.0,21894482.0,322.3880597014925,154.13432835820896,249.3134328358209,254000.53731343284,0.2695209207331733,0.27629471161393515,168422.20895522388,571.7014925373136,223109.9701492537,14948368.0,182693.6567164179,127409.97014925373,262008.25373134328,137956.73134328358,188826.58208955228,369321.49253731343,0.2731729871633009,623322.0298507463,326783.3134328358,1.0
u46,17613.476000000002,0.0316,85,621.8039410015741,576.5265599890872,0.19274559186220386,0.1890871718294176,718.1139999999998,0.9325745295524436,0.0347,0.1863314313714717,0.02340412494611455,31.315,57.18,0.0184,25.351,0.037000000000000005,0.035665757944009745,0.5408716336893493,0.5439525009378852,1708.929981855054,0.02,679.2735596115504,0.0482,0.1444,0.0475,1.86,3685.0,56.183,0.0125,0.0243,82.0,52.882,0.03817360841504357,0.011355295444943672,13.068,0.0231,0.007345598876831531,18.466,3726.0,34.051,0.1505,41.434,0.9304178925719148,0.5391235623247705,318382.17910447763,0.02607115442624142,0.008941973513338019,0.03266605005649826,41.0,24270754.0,284.6268656716418,139.83582089552237,227.40298507462688,288336.3582089552,0.2697160676906432,0.2681308458130256,154293.25373134328,512.0298507462686,247491.94029850746,16581960.0,164088.92537313432,144216.23880597015,238969.62686567163,148274.02985074627,213976.0298507463,417155.19402985077,0.2700411944812332,705491.5522388059,362250.0597014925,0.0
u47,7145.632,0.0447,68,616.1325266984776,571.3469945599599,0.19734836333454767,0.1906962398648995,331.821,0.9372282717458452,0.047,0.1856551994677024,0.022831356615628517,31.928,151.79,0.0,17.362000000000002,0.0046,0.027464651602588847,0.5392954427651212,0.5474662138249939,1703.6790292078174,0.04,674.6929029180402,0.0089,0.0309,0.0251,3.1,3203.0,73.525,0.0259,0.0271,70.0,59.143,0.024915114783904214,0.008169661351293645,13.54,0.0607,0.004015258976433016,9.113,3348.0,27.317,0.0683,29.553,0.9432310221649473,0.5302082220432173,323773.0447761194,0.024283371056156536,0.005647850584939708,0.03177071028723268,145.0,22547823.0,293.2537313432836,142.0597014925373,232.23880597014926,266514.6865671642,0.26687858670730363,0.2724434146222351,156459.55223880598,525.4925373134329,231871.19402985074,15535370.0,167313.49253731346,132606.49253731346,242024.1343283582,141508.2985074627,195026.3731343284,387835.77611940296,0.2700083173699795,654350.4626865672,336534.67164179106,1.0
u49,22965.107000000004,0.0923,83,617.7851111603047,560.0435509754664,0.25722000750868546,0.2679575849693574,3839.792,0.9098996394448484,0.1161,0.27428428566692153,0.029122130050765107,156.593,55.65,0.0448,22.491,0.0323,0.042622829089873984,0.5119395311196673,0.5105963886074878,1701.021519134582,0.07,689.5964931999748,0.0799,0.0647,0.0284,6.1,3359.0,59.618,0.0431,0.0365,509.0,46.995,0.039192761635683186,0.013486447358364592,34.811,0.0974,0.008820178541998378,17.891,3402.0,18.194000000000006,0.1076,62.857,0.9195517427963495,0.5185570152404612,291566.9104477612,0.025655215062552496,0.01075090760420582,0.047491783146022086,49.0,2137785.0,259.31343283582095,128.3134328358209,212.64179104477608,30645.716417910447,0.21511932572559075,0.22422297725085366,146389.74626865672,471.95522388059686,38565.611940298506,2583896.0,145177.16417910447,22973.940298507467,218263.9104477612,13940.850746268658,17966.388059701494,42255.68656716418,0.2201028839109755,72901.40298507463,31907.238805970148,1.0
u50,18210.25,0.078,51,602.0296353875676,552.6412493214992,0.2007023112952737,0.19435240729507927,902.4,0.9571916765881264,0.0694,0.18949763762785912,0.01886787819569476,118.218,36.85,0.0,28.38,0.0077,0.014692019291874641,0.532083868363613,0.5400696045348929,1686.1991533222895,0.03,667.8537892141446,0.0072,0.0034,0.0198,3.18,2739.0,49.43600000000001,0.0248,0.0273,184.0,66.046,0.009554711627608244,0.001684285504928759,16.482,0.035,0.001273381138307688,22.184,2743.0,17.472,0.0488,140.565,0.9714868033459212,0.5233819520090736,369906.77611940296,0.008348551819234877,0.001437029324268358,0.022256159711250185,4.0,21026146.0,348.4029850746268,162.1791044776119,266.02985074626855,242619.94029850746,0.270432757837248,0.27591573669565284,177368.37313432837,614.4328358208954,217186.19402985074,14551475.0,192538.40298507464,124252.58208955225,273466.2686567164,132053.28358208956,181769.7910447761,351608.22388059704,0.2735637243413076,594228.1641791045,313823.0746268657,1.0
u51,18445.087,0.1535,79,606.3989562624254,558.5636167709183,0.19744092734209626,0.19066663449628,758.449,0.9284596709186692,0.2268,0.18554095358793413,0.022586527124604846,89.76799999999999,178.83,0.0012,22.94,0.0103,0.029776587586254705,0.5378633880293838,0.5464560887672065,1690.9815039701075,0.06,670.1115157025804,0.0288,0.2014,0.128,2.68,5882.0,53.462,0.021,0.1243,148.0,52.414,0.025722726922307586,0.012897949613321554,23.574,0.004,0.005435446254273688,23.597,6218.0,24.012,0.2616,59.168,0.9449121819958016,0.5282090807344005,364201.4029850746,0.0131572279812855,0.008416965749442356,0.0360558523434047,350.0,22351309.0,339.23880597014926,159.7761194029851,261.35820895522386,262046.0,0.2680029576448595,0.2743499919235031,174804.8208955224,600.5970149253732,228561.62686567163,15313629.0,189396.58208955228,130508.85074626865,270178.46268656716,140647.64179104473,192953.98507462686,381172.0895522388,0.2714699774743364,643218.0895522388,333601.6268656717,0.0
u52,151418.545,0.1443,51,614.0166054507855,558.4586922488371,0.19302366248858369,0.18690018258855426,491.721,0.919223517024418,0.1095,0.18234378567809947,0.026162833104304364,26.596,69.56,0.0045,16.025,0.0137,0.03999428654600736,0.5443778251561283,0.5505441899119313,1698.6305565078278,0.02,682.6613330100413,0.0607,0.0905,0.1482,7.89,4391.0,71.605,0.0316,0.0624,542.0,80.893,0.04208401844741418,0.016963165346822344,6.853,0.0299,0.013164471306575123,12.37,4481.0,12.254,0.1951,889.2710000000002,0.9180132251662776,0.5383303652836485,296918.2686567164,0.02816628183632648,0.01465227629746205,0.03765048452445539,90.0,23523417.0,267.25373134328356,130.61194029850745,216.3134328358209,281661.9552238806,0.2671120244099691,0.2686459722277679,147444.41791044775,483.56716417910457,238106.5820895523,15953141.0,149473.85074626867,136797.4776119403,221861.4328358209,145545.19402985074,205550.58208955228,409008.9552238807,0.2687219922553176,690670.9104477612,351095.77611940296,0.0
u53,35303.8,0.118,75,613.5359967606964,566.4838972411561,0.19490826777356146,0.18870300604171444,302.949,0.936744566550986,0.1662,0.1839865952197646,0.023403309944224952,37.627,27.48,0.004,21.951,0.0126,0.02665201892513304,0.5408159915707493,0.5483748722808004,1705.1948692152914,0.09,674.7560525233002,0.0428,0.0673,0.0786,3.23,3653.0,62.764,0.0274,0.1121,272.0,74.795,0.023974209051612464,0.008701039951889667,5.933,0.0246,0.0041770364076246964,15.285,3653.0,19.272,0.1754,149.719,0.943696058380511,0.5326698065551801,339230.46268656716,0.023926293284264603,0.00598013706267704,0.031151083552898882,0.0,23180943.0,310.8059701492537,148.35820895522392,242.1044776119403,274214.6417910448,0.2676385324994349,0.27242192567125834,163094.8805970149,552.9104477611942,235474.3731343284,15776783.0,176135.58208955228,134915.49253731346,252979.6567164179,145150.58208955225,200833.6417910448,398647.3731343283,0.2704810023875365,672862.0149253731,345984.22388059704,1.0
u56,13101.2,0.0724,70,599.9809693610589,561.2095225122284,0.19171373378736772,0.18840685819405129,132.94299999999998,0.9193588326447644,0.1188,0.1858946681014285,0.02586802338075716,15.667,165.34,0.0154,15.547,0.0201,0.03975450635606319,0.5430753689305754,0.5453346602887333,1665.8413057766745,0.09,650.3652063604159,0.0231,0.0735,0.0722,1.73,3313.0,68.007,0.019,0.0993,100.0,71.911,0.040972599758935725,0.01640252326026861,2.772,0.0044,0.012176830442682756,16.445999999999998,3511.0,25.317,0.0997,42.058,0.9183439972953992,0.5425089136040231,462083.8507462686,0.029617470231042036,0.013852994303360379,0.038370620714210144,198.0,25044518.0,433.1641791044776,204.37313432835828,337.0,300609.8805970149,0.26877067160983803,0.26577735260860913,219070.94029850746,770.1641791044777,255776.25373134328,17137009.0,243012.9104477612,149398.58208955225,340453.2089552239,152185.98507462686,221612.7910447761,434848.7462686568,0.2685177728753734,735458.6268656716,373798.77611940296,1.0
u57,28505.286,0.0513,80,602.4492272563903,560.104636159012,0.19412976759720613,0.19134104598335874,1370.696,0.9123123622165318,0.0879,0.1891849753074437,0.02858914707643047,81.992,71.35,0.0105,18.518,0.0148,0.04127201653524349,0.5392606664163683,0.5398414133549327,1680.2315302377535,0.13,658.3369127072043,0.0517,0.2077,0.0922,11.0,4749.0,68.805,0.0268,0.0869,989.0,86.272,0.041185973875478885,0.017414463685717602,3.037,0.0459,0.012417826571435414,12.678,4867.0,10.691,0.2473,139.805,0.9150626164141284,0.5410039053376159,425302.1791044776,0.02966749468015136,0.014439776545598504,0.04168402702132025,118.0,25840192.0,398.53731343283584,187.07462686567158,307.4179104477612,307469.19402985077,0.2709736113376236,0.2648663270651779,202127.59701492536,705.9552238805969,267380.94029850746,17914523.0,223174.58208955228,156849.19402985074,314328.6865671642,155522.10447761195,230152.40298507464,443952.76119402976,0.2693982876002728,751421.9552238806,385674.50746268657,1.0
u58,19030.5,0.1438,68,659.1099559403262,605.5320161540885,0.2863610701713312,0.3002349922856966,95.289,0.9092925939198521,0.1552,0.30868349258807665,0.02952967820312889,12.393,55.26,0.0136,22.077,0.0269,0.04266220832444628,0.4822238293451746,0.4698224308753505,1704.1845347313238,0.11,724.7272955356121,0.0325,0.1618,0.0928,3.3,5710.0,55.887,0.0194,0.1316,275.0,68.983,0.03921370902557776,0.013624567853682405,7.183,0.0156,0.008928988568050585,22.035,5748.0,23.834,0.2216,58.736,0.9189936244175586,0.5049915310264073,254534.49253731343,0.026050752056622058,0.010872165571424695,0.047553160023336635,38.0,1504370.0,207.9850746268657,113.88059701492537,178.19402985074623,21351.686567164186,0.22149407653657288,0.2086473988022615,128754.0895522388,386.17910447761193,31258.701492537315,2094333.0,125780.40298507464,19317.313432835814,194073.552238806,8785.44776119403,13667.835820895525,29404.02985074627,0.21754117836912906,50755.71641791045,22453.28358208956,1.0
u59,27778.15,0.0321,75,622.8987616409094,563.8190023042196,0.3521733227698248,0.3669138852799485,205.867,0.9086250916229996,0.0565,0.3825453819731284,0.029703361052309318,13.994000000000002,158.19,0.0208,17.125,0.0273,0.0429043464171246,0.455781330994094,0.4473922658944859,1701.914733390016,0.04,694.5068983952748,0.0252,0.1711,0.0408,3.02,5436.0,68.97,0.0299,0.0681,127.0,97.938,0.03938550829083466,0.013777676018964706,1.403,0.0831,0.009011020393366627,13.905,5713.0,0.6579999999999999,0.1485,84.677,0.9184720021269648,0.4651484372164825,278528.71641791053,0.026217035724522636,0.010982606794175741,0.04789387130572648,279.0,785090.0,246.7014925373134,122.88059701492537,200.44776119402985,14033.537313432837,0.17006235213238574,0.18267824001369268,139202.83582089553,447.14925373134315,24737.776119402984,1657431.0,139325.8805970149,15812.046153846153,209132.2985074627,4905.328358208955,7022.046153846153,20020.953846153847,0.17730478372595734,33456.850746268654,11717.76119402985,1.0
